feature,mean_abs_shap,signed_mean_shap,task,model,target
stop_ratio,0.0,0.0,house,Lasso Regression,anxiety
dominant_angle,0.0,0.0,house,Lasso Regression,anxiety
straightness,0.0,0.0,house,Lasso Regression,anxiety
direction_concentration,0.0,0.0,house,Lasso Regression,anxiety
mean_pressure,0.0,0.0,house,Lasso Regression,anxiety
width,0.0,0.0,house,Lasso Regression,anxiety
height,0.0,0.0,house,Lasso Regression,anxiety
ink_density,0.0,0.0,house,Lasso Regression,anxiety
mean_slant,0.0,0.0,house,Lasso Regression,anxiety
std_slant,0.0,0.0,house,Lasso Regression,anxiety
pen_up_ratio,0.41967270892320985,0.057113074111852395,house,Lasso Regression,depression
abs_mean_slant,0.2992214472585425,0.010771523328069478,house,Lasso Regression,depression
std_slant,0.08570521414082884,0.015461659724237891,house,Lasso Regression,depression
aspect_ratio,0.05984675115625647,0.009006271857963148,house,Lasso Regression,depression
duty_cycle,0.05270497361458136,0.018923652818556815,house,Lasso Regression,depression
F1_in_air_time,0.0,0.0,house,Lasso Regression,depression
F2_on_paper_time,0.0,0.0,house,Lasso Regression,depression
F3_total_time,0.0,0.0,house,Lasso Regression,depression
