Task;Model;mode;Target;MSE;RMSE;R2;CV_MSE;CV_STD
pentagon;Linear Regression;subscales;Stress;5.735.870.193.282.630;75.735.527.946.153.700;0.04071047732333921;7.555.057.012.508.290;18.869.550.064.915.800
pentagon;Ridge Regression;total;TOTAL DASS;30.731.889.115.558.300;1.753.051.314.581.470;0.02919881483217235;30.886.192.322.682.200;3.682.275.104.901.730
pentagon;Ridge Regression;multi-output;Depression;4.457.138.676.899.770;6.676.180.552.456.450;-0.020914764877934866;4.364.382.526.072.030;5.260.543.234.771.530
pentagon;Ridge Regression;multi-output;Stress;58.083.011.154.205.100;7.621.221.106.502.890;0.028596844625365936;4.364.382.526.072.030;5.260.543.234.771.530
pentagon;Ridge Regression;multi-output;Anxiety;365.127.588.617.098;6.042.578.825.444.460;0.012260394953146458;4.364.382.526.072.030;5.260.543.234.771.530
pentagon;Ridge Regression;subscales;Depression;4.457.138.676.899.770;6.676.180.552.456.450;-0.020914764877934866;3.480.976.356.212.630;74.749.594.275.066.100
pentagon;Ridge Regression;subscales;Anxiety;365.127.588.617.098;6.042.578.825.444.460;0.012260394953146458;36.121.962.000.521.600;2.673.519.681.104.070
pentagon;Ridge Regression;subscales;Stress;58.083.011.154.205.100;7.621.221.106.502.890;0.028596844625365936;59.999.750.219.513.100;564.686.233.142.628
pentagon;Lasso Regression;total;TOTAL DASS;3.180.640.820.203.450;17.834.351.180.246.100;-0.004744572074962594;3.093.597.850.423.810;7.449.608.748.323.100
pentagon;Lasso Regression;multi-output;Depression;4.459.581.124.879.450;6.678.009.527.456.100;-0.02147421150628981;4.364.647.511.436.750;11.629.693.966.920.500
pentagon;Lasso Regression;multi-output;Stress;59.985.737.798.821.000;7.745.046.016.572.200;-0.0032251051955223264;4.364.647.511.436.750;11.629.693.966.920.500
pentagon;Lasso Regression;multi-output;Anxiety;3.699.904.652.798.420;6.082.684.154.876.380;-0.0008946117458612513;4.364.647.511.436.750;11.629.693.966.920.500
pentagon;Lasso Regression;subscales;Depression;4.459.581.124.879.450;6.678.009.527.456.100;-0.02147421150628981;3.488.214.536.274.970;11.716.093.318.900.900
pentagon;Lasso Regression;subscales;Anxiety;3.699.904.652.798.420;6.082.684.154.876.380;-0.0008946117458612513;361.010.487.832.552;77.055.474.820.643.300
pentagon;Lasso Regression;subscales;Stress;59.985.737.798.821.000;7.745.046.016.572.200;-0.0032251051955223264;59.956.231.197.097.800;15.675.498.989.681.300
pentagon;Elastic Net;total;TOTAL DASS;3.180.640.820.203.450;17.834.351.180.246.100;-0.004744572074962594;30.935.783.377.276.300;52.962.399.617.902.400
pentagon;Elastic Net;multi-output;Depression;4.459.581.124.879.450;6.678.009.527.456.100;-0.02147421150628981;4.364.647.511.436.750;7.974.812.637.778.210
pentagon;Elastic Net;multi-output;Stress;59.985.737.798.821.000;7.745.046.016.572.200;-0.0032251051955223264;4.364.647.511.436.750;7.974.812.637.778.210
pentagon;Elastic Net;multi-output;Anxiety;3.699.904.652.798.420;6.082.684.154.876.380;-0.0008946117458612513;4.364.647.511.436.750;7.974.812.637.778.210
pentagon;Elastic Net;subscales;Depression;4.459.581.124.879.450;6.678.009.527.456.100;-0.02147421150628981;3.488.214.536.274.970;9.232.841.274.773.950
pentagon;Elastic Net;subscales;Anxiety;3.699.904.652.798.420;6.082.684.154.876.380;-0.0008946117458612513;361.010.487.832.552;41.151.734.157.013.300
pentagon;Elastic Net;subscales;Stress;59.985.737.798.821.000;7.745.046.016.572.200;-0.0032251051955223264;59.956.231.197.097.800;10.660.370.078.269.800
pentagon;Random Forest;total;TOTAL DASS;3.331.849.424.574.280;18.253.354.279.622.900;-0.05251042590152122;33.560.246.015.539.100;7.855.142.143.648.300
pentagon;Random Forest;multi-output;Depression;541.269.121.364.783;735.709.943.771.853;-0.23978560648728808;4.849.257.082.809.590;0.5587974970092601
pentagon;Random Forest;multi-output;Stress;6.222.659.184.484.640;7.888.383.347.990.030;-0.0407020308539392;4.849.257.082.809.590;0.5587974970092601
pentagon;Random Forest;multi-output;Anxiety;4.200.362.894.262.440;6.481.020.671.362.220;-0.13627808896771043;4.849.257.082.809.590;0.5587974970092601
pentagon;Random Forest;subscales;Depression;541.269.121.364.783;735.709.943.771.853;-0.23978560648728808;3.659.193.487.285.590;0.4883583209455433
pentagon;Random Forest;subscales;Anxiety;39.920.608.187.076.400;6.318.275.728.952.980;-0.0799284138806533;3.671.572.053.464.780;0.6734019945379859
pentagon;Random Forest;subscales;Stress;5.494.145.174.263.400;7.412.250.113.334.950;0.08113752157296805;7.141.539.476.162.890;0.9041579449349526
pentagon;Gradient Boosting;total;TOTAL DASS;30.879.315.033.511;17.572.511.213.116.600;0.024541722151187884;31.252.038.456.589.400;4.174.855.478.640.390
pentagon;Gradient Boosting;multi-output;Depression;45.282.656.906.020.200;6.729.238.954.445.010;-0.03720652148103265;4.392.952.601.440.660;56.548.457.586.582.200
pentagon;Gradient Boosting;multi-output;Stress;5.904.942.892.375.460;7.684.362.623.129.820;0.012434093209843233;4.392.952.601.440.660;56.548.457.586.582.200
